Medicare IPPS Short Stay Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Utilization, Program Payments, and Cost Sharing for Original Medicare Beneficiaries, by Area of Residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calendar Year 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Discharges Beginning with Emergency Room Visit,Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days Per 1,000 Original Medicare Part A Enrollees",Covered Days Per Person With Utilization,Covered Days Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"239,499","27,001","36,791 ",154 ,"1,363","26,801","153,416 ",641 ,5.68,4.17,"144,762 ",604 ,5.36,3.93,"560,289,521","2,339","20,751","15,229","3,870","41,087,824","637,799","1,401",,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"124,291","12,239","17,746 ",143 ,"1,450","13,512","109,260 ",879 ,8.93,6.16,"101,287 ",815 ,8.28,5.71,"314,258,627","2,528","25,677","17,709","3,103","19,152,148","1,659,464",824,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"1,107,790","146,300","218,190 ",197 ,"1,491","177,351","1,186,212 ","1,071 ",8.11,5.44,"1,123,866 ","1,015 ",7.68,5.15,"3,072,228,082","2,773","21,000","14,081","2,734","231,612,814","10,967,850","10,824",,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"863,450","89,874","127,460 ",148 ,"1,418","98,516","758,169 ",878 ,8.44,5.95,"709,483 ",822 ,7.89,5.57,"2,057,199,418","2,383","22,890","16,140","2,900","140,671,426","11,858,617","7,777",,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"254,051","40,673","62,580 ",246 ,"1,539","48,268","357,231 ","1,406 ",8.78,5.71,"341,393 ","1,344 ",8.39,5.46,"841,783,686","3,313","20,696","13,451","2,466","63,849,260","3,675,085","3,369",,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"622,134","79,675","116,898 ",188 ,"1,467","82,494","632,494 ","1,017 ",7.94,5.41,"606,017 ",974 ,7.61,5.18,"1,722,695,474","2,769","21,622","14,737","2,843","125,669,280","6,365,081","4,832",,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"110,376","11,841","16,218 ",147 ,"1,370","11,677","85,993 ",779 ,7.26,5.30,"83,285 ",755 ,7.03,5.14,"305,716,970","2,770","25,819","18,850","3,671","18,323,160","434,177",899,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Territories, Possessions, and Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"137,910","11,962","17,201",125,"1,438","14,142","126,164",915,11,7,"122,708",890,10,7,"$219,989,765","$1,595","$18,391","$12,789","$1,793","$19,085,497","$1,342,072","1,589",,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,"14,575","1,102","1,579",108,"1,433","1,332","13,379",918,12,8,"12,989",891,12,8,"29,485,022","2,023","26,756","18,673","2,270","1,715,316","331,621",107,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,"4,465",378,565,127,"1,495",526,"5,337","1,195",14,9,"5,176","1,159",14,9,"5,626,523","1,260","14,885","9,958","1,087","589,948","126,768",41,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,"17,922","1,820","2,922",163,"1,605","2,559","25,753","1,437",14,9,"24,706","1,379",14,8,"65,744,612","3,668","36,123","22,500","2,661","3,053,352","857,815",249,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,"2,759",254,374,136,"1,472",85,"2,817","1,021",11,8,"2,725",988,11,7,"6,314,620","2,289","24,861","16,884","2,317","400,376","67,151",24,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Countries,"496,290",836,"1,089",2,"1,303",879,"7,012",14,8,6,"6,653",13,8,6,"22,999,418",46,"27,511","21,120","3,457","1,193,936","30,793",75,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:  IPPS is Inpatient Prospective Payment System; excludes data for short-stay hospital units and critical access hospitals.  Counts and amounts may not sum to totals because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of Enterprise Data and Analytics, CMS Chronic Conditions Data Warehouse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
